state_fp,county_fp,avg_walkability_index,avg_intersection_density,avg_proximity_to_transit,avg_employment_mix,avg_employment_household_mix,block_groups
1,1,5.2344,21.825,NA,0.4929,0.4489,32
1,3,6.4504,21.2206,NA,0.6231,0.5807,94
1,5,5.1884,13.6029,NA,0.5009,0.5594,23
1,7,5.0333,6.0449,NA,0.5299,0.5376,15
1,9,4.6667,5.0421,NA,0.5201,0.4504,35
1,11,3.9762,1.115,NA,0.467,0.4618,7
1,13,4.9561,10.8499,NA,0.4693,0.5437,19
1,15,5.6703,37.5655,NA,0.4577,0.4329,91
1,17,5.6212,29.2007,NA,0.5292,0.4654,33
1,19,4.193,5.5833,NA,0.4112,0.4105,19
1,21,4.9611,9.3541,NA,0.5223,0.49,30
1,23,3.9444,1.0746,NA,0.4284,0.4772,15
1,25,4.9861,7.3203,NA,0.5168,0.5451,24
1,27,3.9744,2.2158,NA,0.4343,0.4195,13
1,29,4.6061,3.5277,NA,0.5496,0.4418,11
1,31,5.6869,17.4263,NA,0.5355,0.5383,33
1,33,6.7428,57.5191,NA,0.4676,0.5556,46
1,35,4.4444,4.3131,NA,0.5045,0.5176,12
1,37,3.4545,1.8533,NA,0.4008,0.4164,11
1,39,5.2763,15.3148,NA,0.4973,0.5254,38
1,41,4.7833,1.3527,NA,0.5381,0.5628,10
1,43,5.3306,21.2817,NA,0.4815,0.4857,62
1,45,5.4186,15.0339,NA,0.515,0.5015,43
1,47,6.0897,43.2131,NA,0.5123,0.5227,39
1,49,5.066,12.5768,NA,0.5161,0.4793,53
1,51,5.2174,10.2363,NA,0.5598,0.4699,46
1,53,5.8333,24.8156,NA,0.5033,0.5713,30
1,55,6.239,41.4663,NA,0.479,0.483,83
1,57,4.1389,8.0952,NA,0.4021,0.4213,18
1,59,4.8333,17.4037,NA,0.4,0.4944,26
1,61,4.8819,17.7046,NA,0.4982,0.4261,24
1,63,3.9333,1.337,NA,0.4557,0.4659,10
1,65,4.5641,3.8738,NA,0.465,0.4916,13
1,67,4.1771,4.256,NA,0.4772,0.4301,16
1,69,6.6786,37.8418,NA,0.5544,0.5692,70
1,71,4.803,10.8571,NA,0.4888,0.4981,44
1,73,9.8478,80.2319,515.4989,0.4697,0.4872,518
1,75,4.875,5.2025,NA,0.5176,0.5088,16
1,77,6.3174,47.9589,NA,0.5173,0.4728,73
1,79,3.7581,3.4803,NA,0.4295,0.3865,31
1,81,6.3896,49.5356,NA,0.5406,0.5033,77
1,83,5.1357,16.7076,NA,0.5194,0.4679,43
1,85,3.7639,1.1098,NA,0.4086,0.5066,12
1,87,4.6333,17.9116,NA,0.4546,0.3837,20
1,89,8.445,47.9005,604.0517,0.5256,0.4868,191
1,91,5.2569,11.4986,NA,0.475,0.6027,24
1,93,4.8988,6.7081,NA,0.4571,0.5113,28
1,95,5.7462,20.3219,NA,0.508,0.5437,65
1,97,7.1171,59.1947,NA,0.505,0.5277,269
1,99,4.3016,8.9469,NA,0.4048,0.467,21
1,101,11.706,58.1382,82.2096,0.4629,0.5053,199
1,103,6.2022,37.2049,NA,0.5239,0.496,75
1,105,4.0833,3.2106,NA,0.3792,0.4845,12
1,107,4.5439,1.8946,NA,0.5471,0.487,19
1,109,5.3623,15.347,NA,0.4856,0.5807,23
1,111,4.7593,8.4933,NA,0.5221,0.4497,18
